#OTU ID	A-1	A-2	B-1	B-2	C-1	C-2
ZOTU_554	27	23	0	0	0	0
ZOTU_555	33	34	0	0	0	0
ZOTU_556	15	6	0	0	0	0
ZOTU_557	0	0	12	13	0	0
ZOTU_558	18	14	0	0	3	2
ZOTU_559	57	52	0	0	0	0
ZOTU_560	37	29	0	0	0	0
ZOTU_561	12	6	0	0	0	0
ZOTU_562	0	0	18	13	0	0
ZOTU_563	0	0	25	14	0	0
ZOTU_564	0	0	0	1	8	8
ZOTU_565	18	30	0	0	0	0
ZOTU_566	0	0	15	9	1	4
ZOTU_567	27	27	0	0	0	0
ZOTU_568	17	8	0	0	0	0
ZOTU_569	14	21	0	0	0	0
ZOTU_570	15	13	0	0	0	0
ZOTU_571	0	0	0	0	9	16
ZOTU_572	11	7	0	0	0	0
ZOTU_573	18	19	0	0	0	0
ZOTU_574	16	9	0	0	0	0
ZOTU_575	0	0	19	12	1	2
ZOTU_576	19	14	0	0	0	0
ZOTU_577	0	0	15	15	0	0
ZOTU_578	17	15	0	0	0	0
ZOTU_579	0	0	17	12	0	1
ZOTU_580	15	14	0	0	1	2
ZOTU_581	0	0	9	9	1	0
ZOTU_582	0	0	1	3	11	17
ZOTU_583	1	2	3	1	25	26
ZOTU_584	0	0	1	3	15	28
ZOTU_585	0	0	3	0	16	29
ZOTU_586	10	14	0	0	0	0
ZOTU_587	21	23	0	0	0	0
ZOTU_588	18	13	0	0	0	0
ZOTU_589	23	14	0	0	0	0
ZOTU_590	20	6	0	0	0	0
ZOTU_591	14	5	0	0	0	0
ZOTU_592	0	0	15	16	0	0
ZOTU_593	11	15	0	0	0	0
ZOTU_594	0	0	8	6	0	0
ZOTU_595	7	10	0	0	0	0
ZOTU_596	15	9	0	0	1	0
ZOTU_597	15	11	0	0	0	0
ZOTU_598	14	15	1	1	0	1
ZOTU_599	25	13	0	0	0	0
ZOTU_600	1	1	3	4	4	5
ZOTU_601	8	8	0	0	0	0
ZOTU_602	0	0	0	0	10	10
ZOTU_603	9	9	0	0	0	0
ZOTU_604	17	12	0	0	0	1
ZOTU_605	0	0	0	0	7	15
ZOTU_606	28	21	0	0	0	0
