#OTU ID	E01L	E01S	N01L	N01S	S01L	S01S
195946	10	3	0	2	0	0
1910658	7	1	0	2	2	3
335550	14	1	2	5	1	5
193446	1	0	0	18	0	2
2198356	1	1	4	2	16	44
545061	10	6	0	36	2	7
372348	1	4	2	57	34	1
211706	22	1	0	17	2	1
174646	11	0	0	1	0	0
511908	2	0	0	1	0	0
365385	1	1	0	0	0	0
206574	21	22	37	648	41	7
3121406	7	0	0	1	0	1
3320406	2	0	0	0	0	1
348304	35	5	4	11	33	22
197924	7	4	0	2	17	41
330294	5	5	0	7	1	1
183480	8	46	31	187	79	3719
4437814	30	4	9	25	169	130
124309	1	0	0	0	0	0
177360	8	2	1	4	4	44
2487129	21	2	1	11	16	5
848816	52	16	0	2	0	1
688934	15	0	0	3	0	0
2338105	3	0	0	4	0	2
921813	4	0	0	5	0	1
552376	4	1	0	3	0	0
2235671	36	11	0	0	0	1
179435	14	2	0	2	3	0
363692	9	0	0	1	0	0
4354477	1	0	0	1	3	0
3171486	1	5	0	0	4	0
1105687	2	0	0	1	1	0
362327	1	0	0	0	0	0
2018038	1	0	0	3	1	0
3756485	2	1	0	0	0	0
194909	17	0	0	0	1	0
4456091	6	0	0	0	0	0
3325758	4	3	1	2	32	3
179319	9	9	0	1	0	0
192066	3	0	0	2	1	0
4278525	36	7	7	22	157	126
199283	1	0	0	1	1	0
198587	1	5	0	43	43	48
192255	15	1	1	1	0	1
1551841	1	0	0	0	0	0
104610	15	0	0	1	0	0
215097	3	22	1	7	1022	0
177211	2	0	1	0	2	1
52362	4	1	0	1	3	0
1028632	1	1	0	0	0	0
198190	26	13	4	406	181	741
1055212	6	34	0	5	0	3
823099	1	0	0	1	2	2
184729	2	0	0	0	0	0
197517	12	3	13	10	10	123
359175	1	0	0	3	4	33
344525	10	6	11	7	237	139
3972831	1	0	0	1	0	0
4371060	2	0	0	1	2	0
267097	2	1	0	0	0	0
186772	27	2	3	30	4	12
303809	3	3	0	0	0	1
534965	2	0	0	0	0	1
577710	4	2	0	0	0	0
194670	7	4	5	5	12	4
3138798	7	0	0	1	3	0
221454	5	84	0	0	0	0
1068082	1	0	0	0	0	0
362539	2	2	0	0	0	0
3439402	1	0	0	0	0	3
840027	2	1	0	29	9	93
194383	2	0	0	8	3	1
259306	3	0	0	0	0	0
3228684	2	0	0	0	0	0
470382	10	7	0	38	47	37
161423	23	9	3	28	16	4
328617	11	11	1	2	18	138
4296366	1	0	0	2	0	0
188735	18	0	1	7	9	0
797229	8	4	1	10	18	0
813457	7	0	1	0	0	1
4349660	1	0	0	2	0	0
3228974	1	0	0	0	0	0
358112	1	0	0	2	24	79
1997733	11	0	0	3	0	0
805707	10	0	0	1	0	4
1888677	2	0	0	0	0	1
581782	2	0	0	0	4	0
537894	2	5	0	5	0	11
270355	3	0	0	0	0	0
182574	4	0	0	10	0	3
552528	6	1	1	3	1	4
571744	4	41	0	7	2	1097
1054531	2	0	0	1	0	0
195855	5	0	1	8	2	2
194443	25	0	1	18	2	1
4336809	2	0	0	0	0	0
1107670	1	0	0	0	2	0
183049	6	0	0	4	0	0
189443	1	0	0	0	0	0
3486634	79	19	4	9	99	368
183734	4	0	0	1	0	0
210371	6	20	6	572	8	1
4324964	5	1	0	0	0	0
354850	6	1	0	2	18	3
2689396	2	2	0	0	1	0
208479	2	0	0	5	12	33
