A1_199	HISEQ:483:HLJ2LBCXY:1:2111:14016:9361
A1_200	HISEQ:483:HLJ2LBCXY:1:1106:15491:77285
A1_201	HISEQ:483:HLJ2LBCXY:1:1203:11028:22558
A1_202	HISEQ:483:HLJ2LBCXY:1:1105:13704:98141
A1_203	HISEQ:483:HLJ2LBCXY:1:2203:15787:84105
A1_204	HISEQ:483:HLJ2LBCXY:1:2212:19327:12887
A1_205	HISEQ:483:HLJ2LBCXY:1:1112:6742:86227
A1_206	HISEQ:483:HLJ2LBCXY:1:2107:6098:40764
A1_207	HISEQ:483:HLJ2LBCXY:1:1105:13713:74540
A1_208	HISEQ:483:HLJ2LBCXY:1:2101:21050:25431
A1_209	HISEQ:483:HLJ2LBCXY:1:1113:2071:70655
A1_210	HISEQ:483:HLJ2LBCXY:1:2207:19479:72121
A1_211	HISEQ:483:HLJ2LBCXY:1:1105:20922:15118
A1_212	HISEQ:483:HLJ2LBCXY:1:2213:18193:2347
A1_213	HISEQ:483:HLJ2LBCXY:1:2102:16564:21011
A1_214	HISEQ:483:HLJ2LBCXY:1:1201:3565:74574
A1_215	HISEQ:483:HLJ2LBCXY:1:2210:3422:82568
A1_216	HISEQ:483:HLJ2LBCXY:1:1215:11073:47977
A1_217	HISEQ:483:HLJ2LBCXY:1:2105:9003:50423
A1_218	HISEQ:483:HLJ2LBCXY:1:1214:7013:37540
A1_219	HISEQ:483:HLJ2LBCXY:1:2216:16074:17729
A1_220	HISEQ:483:HLJ2LBCXY:1:1207:6519:21331
A1_221	HISEQ:483:HLJ2LBCXY:1:1215:19169:60095
A1_222	HISEQ:483:HLJ2LBCXY:1:2109:8260:84917
A1_223	HISEQ:483:HLJ2LBCXY:1:2201:17695:78950
A1_224	HISEQ:483:HLJ2LBCXY:1:1104:12592:59261
A1_225	HISEQ:483:HLJ2LBCXY:1:1205:19555:8402
A1_226	HISEQ:483:HLJ2LBCXY:1:2104:20217:62350
A1_227	HISEQ:483:HLJ2LBCXY:1:1210:20831:9672
A1_228	HISEQ:483:HLJ2LBCXY:1:1110:17524:4914
A1_229	HISEQ:483:HLJ2LBCXY:1:2103:4225:7941
A1_230	HISEQ:483:HLJ2LBCXY:1:1210:7988:97073
A1_231	HISEQ:483:HLJ2LBCXY:1:2111:10968:15571
A1_232	HISEQ:483:HLJ2LBCXY:1:2104:8705:68777
A1_233	HISEQ:483:HLJ2LBCXY:1:2213:17446:87485
A1_234	HISEQ:483:HLJ2LBCXY:1:1104:6836:14521
A1_235	HISEQ:483:HLJ2LBCXY:1:1202:7795:45613
A1_236	HISEQ:483:HLJ2LBCXY:1:2203:20317:10073
A1_237	HISEQ:483:HLJ2LBCXY:1:1113:13259:13922
A1_238	HISEQ:483:HLJ2LBCXY:1:1108:1662:82107
A1_239	HISEQ:483:HLJ2LBCXY:1:2108:5711:20735
A1_240	HISEQ:483:HLJ2LBCXY:1:2116:18918:12214
A1_241	HISEQ:483:HLJ2LBCXY:1:1216:12327:24121
A1_242	HISEQ:483:HLJ2LBCXY:1:2115:14683:21842
A1_243	HISEQ:483:HLJ2LBCXY:1:2204:18272:88087
A1_244	HISEQ:483:HLJ2LBCXY:1:1108:3414:90129
A1_245	HISEQ:483:HLJ2LBCXY:1:2201:9383:6840
A1_246	HISEQ:483:HLJ2LBCXY:1:2105:16478:34020
A1_247	HISEQ:483:HLJ2LBCXY:1:2210:9207:88115
A1_248	HISEQ:483:HLJ2LBCXY:1:2105:17442:73469
A1_249	HISEQ:483:HLJ2LBCXY:1:1206:16499:43243
A1_250	HISEQ:483:HLJ2LBCXY:1:1206:17368:63373
A1_251	HISEQ:483:HLJ2LBCXY:1:1214:2751:32030
A1_252	HISEQ:483:HLJ2LBCXY:1:2211:5536:77231
A1_253	HISEQ:483:HLJ2LBCXY:1:1202:18738:62957
A1_254	HISEQ:483:HLJ2LBCXY:1:2211:18283:42331
A1_255	HISEQ:483:HLJ2LBCXY:1:2216:12672:36094
A1_256	HISEQ:483:HLJ2LBCXY:1:2114:3963:11821
A1_257	HISEQ:483:HLJ2LBCXY:1:1206:14262:72095
A1_258	HISEQ:483:HLJ2LBCXY:1:2102:1713:32989
A1_259	HISEQ:483:HLJ2LBCXY:1:1204:19617:72607
A1_260	HISEQ:483:HLJ2LBCXY:1:2212:5474:88900
A1_261	HISEQ:483:HLJ2LBCXY:1:2103:17405:23027
A1_262	HISEQ:483:HLJ2LBCXY:1:1206:10616:101017
A1_263	HISEQ:483:HLJ2LBCXY:1:2106:21198:31364
A1_264	HISEQ:483:HLJ2LBCXY:1:1205:4112:33378
A1_265	HISEQ:483:HLJ2LBCXY:1:2215:14239:9555
A1_266	HISEQ:483:HLJ2LBCXY:1:2216:5706:41546
A1_267	HISEQ:483:HLJ2LBCXY:1:1101:19031:64442
A1_268	HISEQ:483:HLJ2LBCXY:1:2207:11547:18465
A1_269	HISEQ:483:HLJ2LBCXY:1:2115:14029:43360
A1_270	HISEQ:483:HLJ2LBCXY:1:1208:4039:46366
A1_271	HISEQ:483:HLJ2LBCXY:1:2210:6405:88053
A1_272	HISEQ:483:HLJ2LBCXY:1:1106:9506:96631
A1_273	HISEQ:483:HLJ2LBCXY:1:1116:10390:80250
A1_274	HISEQ:483:HLJ2LBCXY:1:2114:12673:25506
A1_275	HISEQ:483:HLJ2LBCXY:1:1116:17070:19386
A1_276	HISEQ:483:HLJ2LBCXY:1:2107:7101:91878
A1_277	HISEQ:483:HLJ2LBCXY:1:1111:14500:97308
A1_278	HISEQ:483:HLJ2LBCXY:1:1212:7604:35303
A1_279	HISEQ:483:HLJ2LBCXY:1:1108:7381:73813
A1_280	HISEQ:483:HLJ2LBCXY:1:2101:20118:43734
A1_281	HISEQ:483:HLJ2LBCXY:1:2206:11240:40633
A1_282	HISEQ:483:HLJ2LBCXY:1:1207:13208:37493
A1_283	HISEQ:483:HLJ2LBCXY:1:1114:8539:24231
A1_284	HISEQ:483:HLJ2LBCXY:1:1108:12515:100077
A1_285	HISEQ:483:HLJ2LBCXY:1:2110:4890:81864
A1_286	HISEQ:483:HLJ2LBCXY:1:2112:15850:74216
A1_287	HISEQ:483:HLJ2LBCXY:1:2107:14464:69972
A1_288	HISEQ:483:HLJ2LBCXY:1:2102:12056:16003
A1_289	HISEQ:483:HLJ2LBCXY:1:1113:11737:87526
A1_290	HISEQ:483:HLJ2LBCXY:1:2211:7486:98608
A1_291	HISEQ:483:HLJ2LBCXY:1:1101:19155:69659
A1_292	HISEQ:483:HLJ2LBCXY:1:1110:12700:15101
A1_293	HISEQ:483:HLJ2LBCXY:1:2113:12972:29210
A1_294	HISEQ:483:HLJ2LBCXY:1:2109:9452:5325
A1_295	HISEQ:483:HLJ2LBCXY:1:2106:9154:61529
A1_296	HISEQ:483:HLJ2LBCXY:1:2111:12501:6212
A1_297	HISEQ:483:HLJ2LBCXY:1:2104:10935:37519
A1_298	HISEQ:483:HLJ2LBCXY:1:2103:18879:41345
A1_299	HISEQ:483:HLJ2LBCXY:1:2104:10230:46919
A1_300	HISEQ:483:HLJ2LBCXY:1:2204:14263:65042
A1_301	HISEQ:483:HLJ2LBCXY:1:1211:17706:2304
A1_302	HISEQ:483:HLJ2LBCXY:1:2107:3081:54041
A1_303	HISEQ:483:HLJ2LBCXY:1:1213:17378:92919
A1_304	HISEQ:483:HLJ2LBCXY:1:1107:17281:26470
A1_305	HISEQ:483:HLJ2LBCXY:1:2205:12880:59254
A1_306	HISEQ:483:HLJ2LBCXY:1:1112:5069:71732
A1_307	HISEQ:483:HLJ2LBCXY:1:2102:7384:45161
A1_308	HISEQ:483:HLJ2LBCXY:1:1112:2289:45428
A1_309	HISEQ:483:HLJ2LBCXY:1:2204:15734:38532
A1_310	HISEQ:483:HLJ2LBCXY:1:2206:18578:63987
A1_311	HISEQ:483:HLJ2LBCXY:1:1202:17869:82644
A1_312	HISEQ:483:HLJ2LBCXY:1:1201:21243:12300
A1_313	HISEQ:483:HLJ2LBCXY:1:1109:19297:72420
A1_314	HISEQ:483:HLJ2LBCXY:1:1206:5422:15378
A1_315	HISEQ:483:HLJ2LBCXY:1:1110:7615:54236
A1_316	HISEQ:483:HLJ2LBCXY:1:2210:14391:53332
A1_317	HISEQ:483:HLJ2LBCXY:1:2114:6500:31415
A1_318	HISEQ:483:HLJ2LBCXY:1:2110:5612:38639
A1_319	HISEQ:483:HLJ2LBCXY:1:2207:19218:29182
A1_320	HISEQ:483:HLJ2LBCXY:1:1112:18781:58412
A1_321	HISEQ:483:HLJ2LBCXY:1:2103:3115:62563
A1_322	HISEQ:483:HLJ2LBCXY:1:2201:19576:44386
A1_323	HISEQ:483:HLJ2LBCXY:1:2202:16000:58079
A1_324	HISEQ:483:HLJ2LBCXY:1:1109:14802:37431
A1_325	HISEQ:483:HLJ2LBCXY:1:1114:11768:43566
A1_326	HISEQ:483:HLJ2LBCXY:1:1110:10959:4429
A1_327	HISEQ:483:HLJ2LBCXY:1:1209:6990:58989
A1_328	HISEQ:483:HLJ2LBCXY:1:2111:17344:5196
A1_329	HISEQ:483:HLJ2LBCXY:1:2109:12046:49913
A1_330	HISEQ:483:HLJ2LBCXY:1:2108:18389:47812
A1_331	HISEQ:483:HLJ2LBCXY:1:2210:5867:41913
A1_332	HISEQ:483:HLJ2LBCXY:1:1206:3818:33241
A1_333	HISEQ:483:HLJ2LBCXY:1:2202:15770:10846
A1_334	HISEQ:483:HLJ2LBCXY:1:1105:6353:48343
A1_335	HISEQ:483:HLJ2LBCXY:1:2102:9806:64601
A1_336	HISEQ:483:HLJ2LBCXY:1:2213:17162:86576
A1_337	HISEQ:483:HLJ2LBCXY:1:1111:6788:21572
A1_338	HISEQ:483:HLJ2LBCXY:1:1213:6480:70085
A1_339	HISEQ:483:HLJ2LBCXY:1:2115:17950:52816
A1_340	HISEQ:483:HLJ2LBCXY:1:2207:12879:39635
A1_341	HISEQ:483:HLJ2LBCXY:1:2213:10922:59070
A1_342	HISEQ:483:HLJ2LBCXY:1:2214:5051:7310
A1_343	HISEQ:483:HLJ2LBCXY:1:1202:6524:50285
A1_344	HISEQ:483:HLJ2LBCXY:1:2204:18149:45014
A1_345	HISEQ:483:HLJ2LBCXY:1:2102:6623:56188
A1_346	HISEQ:483:HLJ2LBCXY:1:2205:20215:57294
A1_347	HISEQ:483:HLJ2LBCXY:1:2101:10033:56100
A1_348	HISEQ:483:HLJ2LBCXY:1:2103:9270:84024
A1_349	HISEQ:483:HLJ2LBCXY:1:2107:2487:92768
A1_350	HISEQ:483:HLJ2LBCXY:1:2105:4815:91433
A1_351	HISEQ:483:HLJ2LBCXY:1:2110:12232:21446
A1_352	HISEQ:483:HLJ2LBCXY:1:2214:6171:90661
A1_353	HISEQ:483:HLJ2LBCXY:1:2209:2574:7775
A1_354	HISEQ:483:HLJ2LBCXY:1:1116:7626:85974
A1_355	HISEQ:483:HLJ2LBCXY:1:2115:10340:19252
A1_356	HISEQ:483:HLJ2LBCXY:1:1207:8860:43042
A1_357	HISEQ:483:HLJ2LBCXY:1:1216:16791:11624
A1_358	HISEQ:483:HLJ2LBCXY:1:1108:9359:5623
A1_359	HISEQ:483:HLJ2LBCXY:1:2204:10168:36149
A1_360	HISEQ:483:HLJ2LBCXY:1:2204:15792:96734
A1_361	HISEQ:483:HLJ2LBCXY:1:2110:3073:23502
A1_362	HISEQ:483:HLJ2LBCXY:1:1107:8168:11444
A1_363	HISEQ:483:HLJ2LBCXY:1:2108:14803:83060
A1_364	HISEQ:483:HLJ2LBCXY:1:1109:12076:13569
A1_365	HISEQ:483:HLJ2LBCXY:1:2106:2713:54364
A1_366	HISEQ:483:HLJ2LBCXY:1:2212:19533:62988
A1_367	HISEQ:483:HLJ2LBCXY:1:1215:10933:70134
A1_368	HISEQ:483:HLJ2LBCXY:1:1113:8406:8958
A1_369	HISEQ:483:HLJ2LBCXY:1:1103:2676:23897
A1_370	HISEQ:483:HLJ2LBCXY:1:1207:6501:27412
A1_371	HISEQ:483:HLJ2LBCXY:1:1205:17491:50223
A1_372	HISEQ:483:HLJ2LBCXY:1:2115:5559:48880
A1_373	HISEQ:483:HLJ2LBCXY:1:1205:18592:35506
A1_374	HISEQ:483:HLJ2LBCXY:1:1107:14599:35720
A1_375	HISEQ:483:HLJ2LBCXY:1:1105:4840:51733
A1_376	HISEQ:483:HLJ2LBCXY:1:2104:16051:21222
A1_377	HISEQ:483:HLJ2LBCXY:1:1206:10251:21182
A1_378	HISEQ:483:HLJ2LBCXY:1:1204:6027:65443
A1_379	HISEQ:483:HLJ2LBCXY:1:2204:13653:26666
A1_380	HISEQ:483:HLJ2LBCXY:1:2201:10475:43591
A1_381	HISEQ:483:HLJ2LBCXY:1:2111:20401:88474
A1_382	HISEQ:483:HLJ2LBCXY:1:1101:4373:88931
A1_383	HISEQ:483:HLJ2LBCXY:1:2109:18445:15900
A1_384	HISEQ:483:HLJ2LBCXY:1:2103:9360:13546
A1_385	HISEQ:483:HLJ2LBCXY:1:2216:9284:91102
A1_386	HISEQ:483:HLJ2LBCXY:1:1205:6101:42725
A1_387	HISEQ:483:HLJ2LBCXY:1:2216:18645:68554
A1_388	HISEQ:483:HLJ2LBCXY:1:1103:15858:75599
A1_389	HISEQ:483:HLJ2LBCXY:1:2101:14286:46603
A1_390	HISEQ:483:HLJ2LBCXY:1:2109:15655:52842
A1_391	HISEQ:483:HLJ2LBCXY:1:1213:12708:63206
A1_392	HISEQ:483:HLJ2LBCXY:1:1101:18965:90335
A1_393	HISEQ:483:HLJ2LBCXY:1:2103:6491:29128
A1_394	HISEQ:483:HLJ2LBCXY:1:1108:8853:38408
A1_395	HISEQ:483:HLJ2LBCXY:1:1202:6688:23840
A1_396	HISEQ:483:HLJ2LBCXY:1:1204:12496:79122
A1_397	HISEQ:483:HLJ2LBCXY:1:2201:13704:85173
A1_398	HISEQ:483:HLJ2LBCXY:1:2203:13614:47572
A1_399	HISEQ:483:HLJ2LBCXY:1:1110:1585:88493
