#OTU ID	A-1	A-2	B-1	B-2	C-1	C-2
ZOTU_86	0	0	0.009413	0.007754	0.0002084	0.0001795
ZOTU_87	0	0	0.00351	0.003068	0.006512	0.006252
ZOTU_88	0.005853	0.007225	0	0	0	0
ZOTU_89	0.006289	0.005501	5.318e-05	5.578e-05	0.0003126	0.000329
ZOTU_90	0.008615	0.002545	0	0	0	0
ZOTU_91	0	0	5.318e-05	0.0001116	0.007762	0.007807
ZOTU_92	0.004435	0.00858	0	0	0	0
ZOTU_93	0	0	0.007817	0.006025	5.209e-05	0
ZOTU_94	0	0	0.006169	0.007475	5.209e-05	0.0001197
ZOTU_95	0	0	0.009998	0.002399	0.0004688	0.0004188
ZOTU_96	0.005671	0.006199	0	0	0	0
ZOTU_97	0	0	0.0009572	0.01763	0	0
ZOTU_98	0	0	0.0008509	0.0003905	0.008023	0.008316
ZOTU_99	0.005162	0.006445	0	0	0	0
ZOTU_100	0.005235	0.005624	0	0	0	0
ZOTU_101	0	0	0.001702	0.001897	0.005262	0.004248
ZOTU_102	0	0	0.006913	0.005411	0.0005209	0.0005085
ZOTU_103	0.005816	0.00546	0	0	0	0
ZOTU_104	0	0	0.00803	0.005969	0.0001042	0.000329
ZOTU_105	0	0	0.002446	0.001952	0.00422	0.003201
ZOTU_106	0.004362	0.005788	0	0	0	0
ZOTU_107	0	0	0.006701	0.007643	0.0002605	0.0004188
ZOTU_108	0	0	0.004946	0.006583	5.209e-05	8.974e-05
ZOTU_109	0.003054	0.004885	0	0	0	0
ZOTU_110	0	0	0.001542	0.006136	0.00224	0.002303
ZOTU_111	0.004726	0.005091	0	0	0	0
ZOTU_112	0.005089	0.005337	0	0	0	0
ZOTU_113	0.004944	0.004023	0	0	0	0
ZOTU_114	0.004035	0.004187	5.318e-05	0.0005021	0	0
ZOTU_115	0	0	0.006328	0.007029	0	0
ZOTU_116	0	0	5.318e-05	0	0.006043	0.006372
ZOTU_117	0	0	0.004946	0.00463	0.0001563	2.991e-05
ZOTU_118	0.005017	0.004475	0	0	0	0
ZOTU_119	0.00429	0.006404	0	0	0	0
ZOTU_120	0.005671	0.003366	0	0	0	0
ZOTU_121	0	0	0.004308	0.005857	0	0
ZOTU_122	0	0	0.006116	0.005578	5.209e-05	0
ZOTU_123	0.004326	0.003243	0	0	0	0
ZOTU_124	0	0	0	0	0.004532	0.004367
ZOTU_125	0.005235	0.003407	0	0	0	0
ZOTU_126	0	0	0.007924	0.005523	5.209e-05	0
ZOTU_127	0	0	0.006063	0.005746	5.209e-05	2.991e-05
ZOTU_128	0.003417	0.004762	0	0	0	0
ZOTU_129	0.0003635	0.0002874	5.318e-05	0	0.004845	0.004367
ZOTU_130	0	0	0.005158	0.005188	0	0
ZOTU_131	0.003453	0.002792	0	0	0	0
ZOTU_132	0.003417	0.003531	0	0	0	0
ZOTU_133	0	0	0.001808	0.001227	0.003594	0.002782
ZOTU_134	0.003817	0.003736	0	0	0	0
ZOTU_135	0.003417	0.004064	0	0	0	0
ZOTU_136	0.003562	0.003695	0	0	0	0
ZOTU_137	0	0	0.004946	0.003459	5.209e-05	0
ZOTU_138	0.003163	0.003531	0	0	0	0
ZOTU_139	0.003599	0.004721	0	0	5.209e-05	5.983e-05
ZOTU_140	0	0	0.005371	0.004184	0	0
ZOTU_141	0.004217	0.003366	0	0	0	2.991e-05
ZOTU_142	0.002217	0.003161	0	0	0	0
ZOTU_143	0.002872	0.003366	5.318e-05	0	0	0
ZOTU_144	0	0	0.004467	0.003682	0.0001042	8.974e-05
ZOTU_145	0.003672	0.003202	0	0	0	0
ZOTU_146	0.003272	0.002381	0	0	0	0
ZOTU_147	0.003417	0.003448	0	0	0	0
ZOTU_148	0	0	5.318e-05	0.0001116	0.004949	0.004337
ZOTU_149	0	0	0.0001064	5.578e-05	0.003959	0.004248
ZOTU_150	0.004108	0.002792	0	0	0	0
ZOTU_151	0.0001818	4.105e-05	0.001276	0.006025	5.209e-05	0.0001197
ZOTU_152	0	0	0.004201	0.003682	0	5.983e-05
ZOTU_153	0	4.105e-05	0.00585	0.002622	5.209e-05	0
ZOTU_154	0	0	0.002021	0.007587	0.0001042	5.983e-05
ZOTU_155	0	0	0.0001064	5.578e-05	0.004428	0.00362
ZOTU_156	0.003526	0.003572	0	0	0	0
ZOTU_157	0	0	0.002925	0.003514	0.0004688	0.0002393
ZOTU_158	0.003272	0.004475	0	0	0	0
ZOTU_159	0	0	0	0	0.003803	0.003949
ZOTU_160	0	0	0.003669	0.003291	5.209e-05	5.983e-05
ZOTU_161	0	0	0	0	0.004376	0.004846
ZOTU_162	0.002726	0.002792	0	0	0	0
ZOTU_163	0.002763	0.003407	0	0	0	0
ZOTU_164	0.002872	0.003325	0	0	0	0
ZOTU_165	0	0	0.0008509	0.0009483	0.002969	0.002812
ZOTU_166	0.002763	0.002997	0	0	0	0
ZOTU_167	0	0	0.0003723	0.0002789	0.003126	0.00329
ZOTU_168	0.003562	0.004023	0	0	0	0
ZOTU_169	0	0	0	5.578e-05	0.002969	0.003201
ZOTU_170	0	0	0.003084	0.002678	0	2.991e-05
ZOTU_171	0.004217	0.001847	0	0	0	0
ZOTU_172	0.003235	0.002586	0	0	0	0
ZOTU_173	0.003199	0.002668	0	0	0	0
ZOTU_174	0.002472	0.002709	0	0	0	0
ZOTU_175	0	0	0.003297	0.003012	0	8.974e-05
ZOTU_176	0	0	0.003882	0.001897	0.0003126	0.0003889
ZOTU_177	0	0	0.002872	0.003849	5.209e-05	0
ZOTU_178	0.002327	0.002586	0	5.578e-05	0	0
ZOTU_179	0.0005816	0.0004926	0.002712	0.002287	0.0004168	0.0004188
ZOTU_180	0.002908	0.002381	0	0	0	0
ZOTU_181	0	0	0.003191	0.002176	0.001094	0.0009871
ZOTU_182	0	0	0.005903	0.001339	0	5.983e-05
ZOTU_183	0.002399	0.002586	0	0.0001116	0	2.991e-05
ZOTU_184	0.003235	0.002874	0	0	0	0
ZOTU_185	0	0	0.003776	0.003626	0.0001042	8.974e-05
ZOTU_186	0	0	0.0001595	0.0002231	0.002657	0.002303
ZOTU_187	0.001927	0.002012	0	0	0	0
ZOTU_188	0	0	0.004946	0.002845	0	0
ZOTU_189	0	0	0.003669	0.002845	0	0
ZOTU_190	0	0	0	0	0.002501	0.002872
ZOTU_191	0.002254	0.002751	0	0	0	0
ZOTU_192	0	0	0.002659	0.003012	0.0006251	0.0002991
ZOTU_193	0.004144	0.00156	0	0	0	0
ZOTU_194	0.002799	0.002012	0	0	0	0
ZOTU_195	0.00269	0.002997	0	0	0	0
ZOTU_196	0.003235	0.002915	0	5.578e-05	0	0
ZOTU_197	0	0	0.0001064	0.0002231	0.002448	0.002752
ZOTU_198	0	0	0.005105	0.004072	0	0
ZOTU_199	0.001854	0.002176	0	0	0	0
ZOTU_200	0	0	0.004467	0.002901	0	0
ZOTU_201	0.002108	0.001683	0	0	0	0
ZOTU_202	0	0	0	0	0.002605	0.002303
ZOTU_203	0.002217	0.001847	0	0	0	0
ZOTU_204	0	0	0.002712	0.002287	0	0
ZOTU_205	0.002036	0.002299	0	0	0	0
ZOTU_206	0.001927	0.002012	0	0	0	0
ZOTU_207	0	0	0.0001064	5.578e-05	0.00224	0.001735
ZOTU_208	0.002254	0.002833	0	0	0	0
ZOTU_209	0.002654	0.001888	0	0	0	0
ZOTU_210	0	0	0.002074	0.002901	0	0
ZOTU_211	0	0	0	0	0.001511	0.002184
ZOTU_212	0	0	0	0	0.002292	0.001705
ZOTU_213	0.0003999	0.0003695	0.0001064	0.0001674	0.001771	0.001585
ZOTU_214	0	0	0.002287	0.002176	0.0001563	2.991e-05
ZOTU_215	0	0	0.002234	0.002789	0.0001563	0.0001795
ZOTU_216	0.001599	0.001806	0	0	0	0
ZOTU_217	0	0	0.0003191	0	0.003021	0.001885
ZOTU_218	0.002108	0.002299	0	0	0	0
ZOTU_219	0	0	0	0	0.00224	0.002004
ZOTU_220	0	0	0.002499	0.002678	0	0
ZOTU_221	0	0	0.002872	0.002901	0	2.991e-05
ZOTU_222	0.0003635	0.0001642	0.00101	0.000781	0.002188	0.002064
ZOTU_223	0.001818	0.001765	0	0	0	0
ZOTU_224	0	0	0.002287	0.002455	0	0
ZOTU_225	0	0	0.0001064	0.0001116	0.001875	0.002453
ZOTU_226	0	0	0.001968	0.001841	0.0006772	0.0009273
ZOTU_227	0	0	0.003297	0.002901	5.209e-05	8.974e-05
ZOTU_228	0	0	0.0001595	0.0001674	0.001927	0.001944
ZOTU_229	0	0	5.318e-05	0.0001674	0.00349	0.0008675
ZOTU_230	0	0	0.002499	0.002287	0	0
ZOTU_231	0	0	0.0006382	0.003682	0	0
ZOTU_232	0.001854	0.002299	0	0	0	0
ZOTU_233	0.001745	0.001929	0	0	0	0
ZOTU_234	0	0	0.002393	0.003849	0	0
ZOTU_235	0.002145	0.002422	0	0	0	0
ZOTU_236	0.00229	0.002627	0	0	0	0
ZOTU_237	0.001309	0.001601	0	0	0	0
ZOTU_238	0	0	0.001914	0.001674	0.0002084	0.0001496
ZOTU_239	0	0	0.002819	0.001729	5.209e-05	5.983e-05
ZOTU_240	0	0	0.0006382	0.004574	0	2.991e-05
ZOTU_241	0	0	0.0007977	0.003682	0	2.991e-05
ZOTU_242	3.635e-05	0	0.001968	0.002957	0.0001042	0.0001795
ZOTU_243	0.001999	0.001355	0	0	0	0
ZOTU_244	0.001818	0.0009853	0	0	0	0
ZOTU_245	0.0001091	0.0001642	0.00218	0.003012	0.0001563	0
ZOTU_246	0	0	0.002499	0.001785	0	0
ZOTU_247	0.001927	0.001601	0	0	0	0
ZOTU_248	0.001709	0.001929	0	0	0	0
ZOTU_249	0.00189	0.002012	0	0	0	0
ZOTU_250	0.001636	0.001806	0	0	0	0
ZOTU_251	0.0004726	0.0002053	0.001436	0.002455	5.209e-05	8.974e-05
ZOTU_252	0.001272	0.002381	0	0	0	0
ZOTU_253	0	0	0.0002127	0.0001674	0.002657	0.002812
ZOTU_254	0.001454	0.001888	0	0	0	2.991e-05
ZOTU_255	0.0012	0.001519	0	0	0	0
ZOTU_256	0.002145	0.001724	0	0	0	0
ZOTU_257	0	0	0.002659	0.001841	0	0
ZOTU_258	0	0	0.001755	0.001729	0	0
ZOTU_259	0	0	0.002712	0.001785	5.209e-05	5.983e-05
ZOTU_260	0.001672	0.002135	0	0	0	0
ZOTU_261	0.0001091	0.0001642	0.002765	0.001841	5.209e-05	0
ZOTU_262	0.001999	0.002053	0	0	0	0
ZOTU_263	0.001345	0.001232	0	0	0	0
ZOTU_264	0.0002181	0.0002463	0.0008509	0.000781	0.000573	0.0009871
ZOTU_265	0	0	0.001968	0.001785	0.0005209	0.001077
ZOTU_266	0.001454	0.001478	0	0	0	0
ZOTU_267	0.001781	0.001519	0	0	0	0
ZOTU_268	0.001636	0.001191	0	0	0	0
ZOTU_269	0.0012	0.0009032	0	0	0	0
ZOTU_270	0	0	0	5.578e-05	0.001927	0.001885
ZOTU_271	0.002036	0.002627	0	0	0	0
ZOTU_272	0	0	0.0002127	5.578e-05	0.001354	0.002094
ZOTU_273	0.00189	0.001067	0	0	0	0
ZOTU_274	0.0012	0.001149	0	0	0	0
ZOTU_275	0.001309	0.001314	0	0	0	0
ZOTU_276	0.001381	0.001519	0	0	0	0
ZOTU_277	0	0	0.00234	0.001785	0.0001042	5.983e-05
ZOTU_278	0	0	0.001914	0.001618	5.209e-05	0.0002692
ZOTU_279	0.001709	0.001478	0	0	5.209e-05	2.991e-05
ZOTU_280	0.001091	0.001765	0	0	0	0
ZOTU_281	0	0	0.0008509	0.0001674	0.001511	0.001197
ZOTU_282	0	0	0	0	0.001302	0.001825
ZOTU_283	0.0012	0.001273	0	0	0	0
ZOTU_284	0	0	0.001702	0.001897	0	0
ZOTU_285	0.001745	0.0008211	0	0	0	0
ZOTU_286	0	0	0.001968	0.001562	0.0003126	0.0002094
ZOTU_287	0.001636	0.001888	0	0	0	0
ZOTU_288	0	0	0.001489	0.00106	0.0002605	2.991e-05
ZOTU_289	0.001381	0.001847	0	0	0	0
ZOTU_290	0.002545	0.002217	0	0	0	0
ZOTU_291	0.001454	0.001355	0	5.578e-05	0	0
ZOTU_292	0.00149	0.001437	0	0	0	0
ZOTU_293	0.001854	0.002176	0	0	0	0
ZOTU_294	0.0009451	0.001191	0	0	0	0
ZOTU_295	0.001599	0.001396	0	0	0	2.991e-05
ZOTU_296	0.002036	0.001642	0	0	0	0
ZOTU_297	0.001309	0.001149	0	0	0	0
ZOTU_298	0	0	0	5.578e-05	0.002344	0.002154
ZOTU_299	0.001272	0.001642	0	0	0	0
ZOTU_300	0	0	0.001436	0.002008	0	0
ZOTU_301	0.001599	0.001355	0	0	0	0
ZOTU_302	0.0001454	8.211e-05	0.001489	0.001674	0	0
ZOTU_303	3.635e-05	0	0.001649	0.001618	0.001042	0.0009273
ZOTU_304	0	0	0.002074	0.001116	0.0001042	0.0001496
ZOTU_305	0.001054	0.001314	0	0	0	0
ZOTU_306	0.001927	0.001314	0	0	0	0
ZOTU_307	0.0009815	0.001232	0	0	0	0
ZOTU_308	0.001381	0.001067	0	0	0	0
ZOTU_309	0	0	0.0009572	0.001952	0.0003647	0.0003889
ZOTU_310	0.001381	0.001601	0	0	0	0
ZOTU_311	0	0	0.001276	0.001283	0	2.991e-05
ZOTU_312	0.0012	0.001149	0	0	0	0
ZOTU_313	0.001418	0.001314	0	0	0	0
ZOTU_314	0	0	0	5.578e-05	0.001407	0.002034
ZOTU_315	0.001236	0.001026	0	0	0	0
ZOTU_316	0	0	0.0001064	0	0.001302	0.001017
ZOTU_317	0.0012	0.001847	0	0	0	0
ZOTU_318	0	0	0.00133	0.001004	0	0
ZOTU_319	3.635e-05	0	0.001542	0.0008368	5.209e-05	0.0002991
ZOTU_320	0	0	0.0002127	0.0001674	0.001354	0.001047
ZOTU_321	0.001709	0.001232	0	5.578e-05	0	0
ZOTU_322	0.001236	0.0006979	0	0	0	0
ZOTU_323	0.001091	0.001437	0	0	0	0
ZOTU_324	0.000727	0.001601	0	0	0	0
ZOTU_325	0.001091	0.0008621	0	0	0	0
ZOTU_326	0.001345	0.001191	0	0	0	0
ZOTU_327	0.001163	0.001149	0	0	0	0
ZOTU_328	0	0	0	0	0.001563	0.001825
ZOTU_329	0	0	0.001968	0.001841	0	0
ZOTU_330	0	0	0.001968	0.001785	0.0003126	0.0001496
ZOTU_331	0.001563	0.001601	0	0	5.209e-05	0
ZOTU_332	0	0	0.001649	0.001395	0	0
ZOTU_333	0.0008361	0.001149	0	0	0	0
ZOTU_334	0	0	0.001702	0.001841	0	2.991e-05
ZOTU_335	0.001272	0.0008211	0	0	0	0
ZOTU_336	0.001236	0.002053	0	0	0	0
ZOTU_337	0.001054	0.0009032	0	0	0	0
ZOTU_338	0.002036	0.0006568	0	0	0	0
ZOTU_339	0	0	0.0002659	5.578e-05	0.001042	0.0007777
ZOTU_340	3.635e-05	0	0.001542	0.001897	0	0
ZOTU_341	0	0	0.003191	0.001004	0	0
ZOTU_342	0	0	0.0005318	0.002733	0	0
ZOTU_343	0.0008724	0.001149	0	0	0	0
ZOTU_344	0	0	0.0002127	0.002399	0	0
ZOTU_345	0	0	0	5.578e-05	0.001146	0.001167
ZOTU_346	0	0	0	0	0.001042	0.001226
ZOTU_347	0.0012	0.001191	0	0	0	0
ZOTU_348	0.001236	0.001765	0	0	0	0
ZOTU_349	0	0	0	0	0.001823	0.001705
ZOTU_350	0.00149	0.001355	0	5.578e-05	0	0
ZOTU_351	0	0	0.0003191	0.0001674	0.001302	0.001466
ZOTU_352	0	0	0.001276	0.00106	0	0
ZOTU_353	0.0007997	0.0009442	0	0	0	0
ZOTU_354	0	0	0.001117	0.001395	0	0
ZOTU_355	0	0	0.0003723	0.0002231	0.0007814	0.001017
ZOTU_356	0.001854	0.001108	0.0001595	0.0002231	0	0
ZOTU_357	0.001309	0.0009853	0	0	0	0
ZOTU_358	0.001454	0.001806	0	0	0	0
ZOTU_359	0.0009815	0.0009032	0	0	0	0
ZOTU_360	0	0	0	0	0.001302	0.001197
ZOTU_361	0.0009815	0.001149	0	0	0	0
ZOTU_362	0.001127	0.001149	0.0001064	0	0	0
ZOTU_363	0	0	0.001064	0.001171	0	0.0001197
ZOTU_364	0	0	0.001064	0.00106	0	0
ZOTU_365	0.0009815	0.00156	0	0	0	0
ZOTU_366	0.0001818	0.0002463	0.0002659	0.000781	0.0003126	0.0004786
ZOTU_367	0.0006907	0.001232	0	0	0	0
ZOTU_368	0	0	5.318e-05	0	0.0006772	0.0009871
ZOTU_369	0.001018	0.001232	0	0	0	0
ZOTU_370	0.0009451	0.0006568	0	0	0	0
ZOTU_371	0.001672	0.001149	5.318e-05	0	0	5.983e-05
ZOTU_372	0	0	0	0	0.001302	0.0009273
ZOTU_373	0	0	0.001276	0.00106	0.0004688	0.0002991
ZOTU_374	0.001018	0.001067	0	0	0	0
ZOTU_375	0.001272	0.001232	0	0	0	0
ZOTU_376	0.001054	0.001642	0	0	0	0
ZOTU_377	0	0	0.001755	0.001897	0	2.991e-05
ZOTU_378	0.001091	0.001108	0	0	0	0
ZOTU_379	0.001309	0.001642	0	0	0	0
ZOTU_380	0.001345	0.00156	0	0	0	0
ZOTU_381	0.0006907	0.001108	0	0	0	2.991e-05
ZOTU_382	0.001781	0.001683	0	0	0	0
ZOTU_383	0.001345	0.0006568	0	0	0	0
ZOTU_384	0	4.105e-05	0	0	0.001094	0.0008974
ZOTU_385	0.0001091	0	0.001223	0.001283	0	0
ZOTU_386	0	0	0.001861	0.000781	0	0
ZOTU_387	3.635e-05	4.105e-05	0	0	0.0006772	0.0008974
ZOTU_388	0	0	0.001383	0.0006136	0	0
ZOTU_389	0.001091	0.0008621	0.0002127	0.0002231	0	0.0001197
ZOTU_390	0.001418	0.001067	0	0	0	0
ZOTU_391	0.001018	0.001026	0	0	0	0
ZOTU_392	0.0005453	0.0008211	0	0	0	0
ZOTU_393	0	0	0.0009572	0.001004	0	8.974e-05
ZOTU_394	0.0009451	0.001067	0	0	0	0
ZOTU_395	0	0	0.00101	0.001004	5.209e-05	0
ZOTU_396	0	0	0.002606	0.004072	0	0
ZOTU_397	0.001454	0.0003695	0	0	0	0
ZOTU_398	0.0008361	0.0006979	0	0	0	0
ZOTU_399	0.0006907	0.0007389	0	0	0	0
ZOTU_400	0.0012	0.001067	0	0	0	0
ZOTU_401	0.0008361	0.0007389	0	0	0	0
ZOTU_402	0	0	0.001117	0.002733	0	0
ZOTU_403	0.001091	0.001026	0	0	0	0
ZOTU_404	0	0	0.0009041	0.0008926	0.0002605	0.0006282
ZOTU_405	0	0	0.0003191	0.001785	0.0002084	0.0001496
ZOTU_406	0.0008361	0.0007389	0	0	0	0
ZOTU_407	0	0	0.001276	0.001841	0	0
ZOTU_408	0	4.105e-05	0.001223	0.001171	0.0003647	0.0002991
ZOTU_409	0	0	0	0	0.0005209	0.001645
ZOTU_410	0	0	0.00101	0.000781	0	5.983e-05
ZOTU_411	0	0	0.001755	0.001562	0	0
ZOTU_412	0.0008724	0.00156	0	0	0	0
ZOTU_413	0.0007634	0.0007389	0	0	0	0
ZOTU_414	0	0	0.0005318	0.001116	0	0
ZOTU_415	0	0	0.0004254	0.0004463	0.001042	0.001256
ZOTU_416	0	0	0.002499	0.00251	0	0
ZOTU_417	0	0	0.00117	0.0008926	0.0003647	0.0005085
ZOTU_418	0	0	0.00117	0.001283	0	0
ZOTU_419	0	0	0.0008509	0.0007252	0	0
ZOTU_420	0	0	0.0009572	0.001618	0	0
ZOTU_421	3.635e-05	8.211e-05	0.0009041	0.0009483	0.0002605	0.0002393
ZOTU_422	0	0	0.001117	0.0006694	0	0
ZOTU_423	0	0	0.0006913	0.0006136	0.000573	0.0002991
ZOTU_424	0.001054	0.0009442	0	0	0	0
ZOTU_425	0.0007634	0.0008211	0	0	0	0
ZOTU_426	0	0	0.001595	0.0008926	0	0
ZOTU_427	0.0006543	0.0004926	0	0	0	0
ZOTU_428	0.001854	0.001355	0	0	0	0
ZOTU_429	0	0	0.00117	0.000781	0	0
ZOTU_430	0.0007634	0.00078	0	0	0	0
ZOTU_431	0.0007634	0.0007389	0	0	0	0
ZOTU_432	0	0	0.001117	0.001562	0	0
ZOTU_433	0.001054	0.0006568	0	0	0	0
ZOTU_434	0.0008361	8.211e-05	0	0	0	0
ZOTU_435	0	0	0.002553	0.002399	0	0
ZOTU_436	0.0007997	0.0008211	0	0	0	0
ZOTU_437	0	0	0.0004786	0.0001674	0.001042	0.001137
ZOTU_438	0.000727	0.0008621	0	0	0	0
ZOTU_439	0	0	0.0008509	0.0005578	0.001563	0.001406
ZOTU_440	0.0009451	0.0004516	0	0	0	0
ZOTU_441	0	0	0.0006913	0.0006136	0.0007814	0.0008077
ZOTU_442	0.001127	0.0006979	0	0	0	0
ZOTU_443	0.0008361	0.001437	0	0	0	0
ZOTU_444	0.00149	0.001601	0	0	0	0
ZOTU_445	0.0007634	0.0009032	0	0	0	0
ZOTU_446	0	0	5.318e-05	5.578e-05	0.001615	0.0007777
ZOTU_447	0	4.105e-05	0	0	0.0001042	0.001286
ZOTU_448	0	0	0.0008509	0.001004	0	0
ZOTU_449	0.0009088	0.0007389	0	0	0	0
ZOTU_450	0.001091	0.0008621	0	0	0	0
ZOTU_451	0	0	5.318e-05	5.578e-05	0.001407	0.0007179
ZOTU_452	0.000618	0.0007389	0	0	0	0
ZOTU_453	0.0006907	0.001437	0	0	0	0
ZOTU_454	0	0	0.00101	0.00106	0	5.983e-05
ZOTU_455	0	0	0.001489	0.00145	0	5.983e-05
ZOTU_456	0.0006543	0.0006158	0	0	0	0
ZOTU_457	0.001309	0.00156	0	0	0	0
ZOTU_458	0.0009451	0.001108	0	0	0	0
ZOTU_459	0.0006907	0.0007389	0	0	0	0
ZOTU_460	0.001018	0.0005337	0	0	0	0
ZOTU_461	3.635e-05	4.105e-05	0.002765	0.002176	5.209e-05	2.991e-05
ZOTU_462	0.0008361	0.0008621	0	0	0	0
ZOTU_463	0.0009451	0.001108	0	0	0	0
ZOTU_464	0.0008724	0.0006979	0.0001064	5.578e-05	0	2.991e-05
ZOTU_465	0.0009451	0.0007389	0	0	0	0
ZOTU_466	0.0008361	0.0008211	0	0	0	0
ZOTU_467	0	0	0.001223	0.0008926	5.209e-05	0
ZOTU_468	0	0	5.318e-05	0.001785	0	0
ZOTU_469	0	0	0.00101	0.0005021	0	0
ZOTU_470	0.000618	0.0009032	0	0	0	0
ZOTU_471	0.0009451	0.001232	0	0	0	0
