#OTU ID	B-1	B-2
ZOTU_521	20	9
ZOTU_522	0	0
ZOTU_523	0	0
ZOTU_524	0	0
ZOTU_525	0	0
ZOTU_526	15	15
ZOTU_527	0	0
ZOTU_528	0	0
ZOTU_529	0	1
ZOTU_530	0	0
ZOTU_531	0	0
ZOTU_532	0	0
ZOTU_533	0	0
ZOTU_534	15	17
ZOTU_535	0	0
ZOTU_536	0	0
ZOTU_537	1	0
ZOTU_538	9	2
ZOTU_539	0	0
ZOTU_540	0	0
ZOTU_541	0	0
ZOTU_542	0	0
ZOTU_543	0	0
ZOTU_544	0	0
ZOTU_545	0	0
ZOTU_546	29	11
ZOTU_547	0	0
ZOTU_548	14	7
ZOTU_549	0	0
ZOTU_550	0	0
ZOTU_551	20	5
ZOTU_552	0	0
ZOTU_553	10	10
ZOTU_554	0	0
ZOTU_555	0	0
ZOTU_556	0	0
ZOTU_557	12	13
ZOTU_558	0	0
ZOTU_559	0	0
ZOTU_560	0	0
ZOTU_561	0	0
ZOTU_562	18	13
ZOTU_563	25	14
ZOTU_564	0	1
ZOTU_565	0	0
ZOTU_566	15	9
ZOTU_567	0	0
ZOTU_568	0	0
ZOTU_569	0	0
ZOTU_570	0	0
ZOTU_571	0	0
ZOTU_572	0	0
ZOTU_573	0	0
ZOTU_574	0	0
ZOTU_575	19	12
ZOTU_576	0	0
ZOTU_577	15	15
ZOTU_578	0	0
ZOTU_579	17	12
ZOTU_580	0	0
ZOTU_581	9	9
ZOTU_582	1	3
ZOTU_583	3	1
ZOTU_584	1	3
ZOTU_585	3	0
ZOTU_586	0	0
ZOTU_587	0	0
ZOTU_588	0	0
ZOTU_589	0	0
ZOTU_590	0	0
ZOTU_591	0	0
ZOTU_592	15	16
ZOTU_593	0	0
ZOTU_594	8	6
ZOTU_595	0	0
ZOTU_596	0	0
ZOTU_597	0	0
ZOTU_598	1	1
ZOTU_599	0	0
ZOTU_600	3	4
ZOTU_601	0	0
ZOTU_602	0	0
ZOTU_603	0	0
ZOTU_604	0	0
ZOTU_605	0	0
ZOTU_606	0	0
ZOTU_607	3	0
ZOTU_608	0	0
ZOTU_609	2	1
ZOTU_610	0	0
ZOTU_611	0	0
ZOTU_612	0	0
ZOTU_613	0	0
ZOTU_614	0	0
ZOTU_615	0	0
ZOTU_616	1	1
ZOTU_617	0	0
ZOTU_618	21	24
ZOTU_619	0	0
ZOTU_620	0	0
ZOTU_621	0	0
ZOTU_622	12	8
ZOTU_623	13	18
ZOTU_624	23	23
ZOTU_625	0	0
ZOTU_626	1	1
ZOTU_627	0	0
ZOTU_628	0	0
ZOTU_629	18	8
ZOTU_630	0	0
ZOTU_631	4	11
ZOTU_632	0	0
ZOTU_633	9	9
ZOTU_634	0	0
ZOTU_635	0	0
ZOTU_636	0	0
ZOTU_637	0	0
ZOTU_638	1	1
ZOTU_639	0	0
ZOTU_640	7	3
ZOTU_641	13	8
ZOTU_642	1	0
ZOTU_643	0	0
ZOTU_644	0	0
ZOTU_645	15	7
ZOTU_646	0	0
ZOTU_647	0	0
ZOTU_648	0	0
ZOTU_649	0	0
ZOTU_650	0	0
ZOTU_651	10	10
ZOTU_652	12	5
ZOTU_653	8	12
ZOTU_654	0	0
ZOTU_655	0	0
ZOTU_656	0	0
ZOTU_657	7	7
ZOTU_658	0	0
ZOTU_659	6	10
ZOTU_660	0	0
ZOTU_661	0	0
ZOTU_662	15	8
ZOTU_663	6	13
ZOTU_664	0	0
ZOTU_665	0	0
ZOTU_666	0	1
ZOTU_667	0	0
ZOTU_668	0	0
ZOTU_669	18	10
ZOTU_670	0	0
ZOTU_671	1	3
ZOTU_672	0	0
ZOTU_673	2	11
ZOTU_674	0	0
ZOTU_675	1	1
ZOTU_676	20	15
ZOTU_677	0	0
ZOTU_678	0	0
ZOTU_679	0	0
ZOTU_680	4	11
ZOTU_681	0	0
ZOTU_682	0	0
ZOTU_683	0	0
