#OTU ID	A-1	A-2
ZOTU_390	39	26
ZOTU_391	28	25
ZOTU_392	15	20
ZOTU_393	0	0
ZOTU_394	26	26
ZOTU_395	0	0
ZOTU_396	0	0
ZOTU_397	40	9
ZOTU_398	23	17
ZOTU_399	19	18
ZOTU_400	33	26
ZOTU_401	23	18
ZOTU_402	0	0
ZOTU_403	30	25
ZOTU_404	0	0
ZOTU_405	0	0
ZOTU_406	23	18
ZOTU_407	0	0
ZOTU_408	0	1
ZOTU_409	0	0
ZOTU_410	0	0
ZOTU_411	0	0
ZOTU_412	24	38
ZOTU_413	21	18
ZOTU_414	0	0
ZOTU_415	0	0
ZOTU_416	0	0
ZOTU_417	0	0
ZOTU_418	0	0
ZOTU_419	0	0
ZOTU_420	0	0
ZOTU_421	1	2
ZOTU_422	0	0
ZOTU_423	0	0
ZOTU_424	29	23
ZOTU_425	21	20
ZOTU_426	0	0
ZOTU_427	18	12
ZOTU_428	51	33
ZOTU_429	0	0
ZOTU_430	21	19
ZOTU_431	21	18
ZOTU_432	0	0
ZOTU_433	29	16
ZOTU_434	23	2
ZOTU_435	0	0
ZOTU_436	22	20
ZOTU_437	0	0
ZOTU_438	20	21
ZOTU_439	0	0
ZOTU_440	26	11
ZOTU_441	0	0
ZOTU_442	31	17
ZOTU_443	23	35
ZOTU_444	41	39
ZOTU_445	21	22
ZOTU_446	0	0
ZOTU_447	0	1
ZOTU_448	0	0
ZOTU_449	25	18
ZOTU_450	30	21
ZOTU_451	0	0
ZOTU_452	17	18
ZOTU_453	19	35
ZOTU_454	0	0
ZOTU_455	0	0
ZOTU_456	18	15
ZOTU_457	36	38
ZOTU_458	26	27
ZOTU_459	19	18
ZOTU_460	28	13
ZOTU_461	1	1
ZOTU_462	23	21
ZOTU_463	26	27
ZOTU_464	24	17
ZOTU_465	26	18
ZOTU_466	23	20
ZOTU_467	0	0
ZOTU_468	0	0
ZOTU_469	0	0
ZOTU_470	17	22
ZOTU_471	26	30
ZOTU_472	20	15
ZOTU_473	17	10
ZOTU_474	0	0
ZOTU_475	21	30
ZOTU_476	24	24
ZOTU_477	0	0
ZOTU_478	0	0
ZOTU_479	10	0
ZOTU_480	21	24
ZOTU_481	44	29
ZOTU_482	0	0
ZOTU_483	21	21
ZOTU_484	14	9
ZOTU_485	16	11
ZOTU_486	0	0
ZOTU_487	18	10
ZOTU_488	30	22
ZOTU_489	0	0
ZOTU_490	2	4
ZOTU_491	14	18
ZOTU_492	0	0
ZOTU_493	0	0
ZOTU_494	25	9
ZOTU_495	3	2
ZOTU_496	0	0
ZOTU_497	29	35
ZOTU_498	25	27
ZOTU_499	16	14
ZOTU_500	0	0
ZOTU_501	22	20
ZOTU_502	35	33
ZOTU_503	20	9
ZOTU_504	16	16
ZOTU_505	20	12
ZOTU_506	15	7
ZOTU_507	0	0
ZOTU_508	17	16
ZOTU_509	21	18
ZOTU_510	18	23
ZOTU_511	10	15
ZOTU_512	18	7
ZOTU_513	3	15
ZOTU_514	0	0
ZOTU_515	14	12
ZOTU_516	18	10
ZOTU_517	0	0
ZOTU_518	8	16
ZOTU_519	14	14
ZOTU_520	10	14
ZOTU_521	0	0
ZOTU_522	25	19
ZOTU_523	19	22
ZOTU_524	23	4
ZOTU_525	17	9
ZOTU_526	0	0
ZOTU_527	16	13
ZOTU_528	15	12
ZOTU_529	17	17
ZOTU_530	15	13
ZOTU_531	25	26
ZOTU_532	32	28
ZOTU_533	45	32
ZOTU_534	0	0
ZOTU_535	41	30
ZOTU_536	0	0
ZOTU_537	38	44
ZOTU_538	15	11
ZOTU_539	38	34
ZOTU_540	38	37
ZOTU_541	47	26
ZOTU_542	15	11
ZOTU_543	15	23
ZOTU_544	0	0
ZOTU_545	26	23
ZOTU_546	0	0
ZOTU_547	22	14
ZOTU_548	0	0
ZOTU_549	16	35
ZOTU_550	24	11
ZOTU_551	0	0
ZOTU_552	7	18
ZOTU_553	0	0
ZOTU_554	27	23
ZOTU_555	33	34
ZOTU_556	15	6
ZOTU_557	0	0
ZOTU_558	18	14
ZOTU_559	57	52
ZOTU_560	37	29
ZOTU_561	12	6
ZOTU_562	0	0
ZOTU_563	0	0
ZOTU_564	0	0
ZOTU_565	18	30
ZOTU_566	0	0
ZOTU_567	27	27
ZOTU_568	17	8
ZOTU_569	14	21
ZOTU_570	15	13
ZOTU_571	0	0
ZOTU_572	11	7
ZOTU_573	18	19
ZOTU_574	16	9
ZOTU_575	0	0
ZOTU_576	19	14
ZOTU_577	0	0
ZOTU_578	17	15
ZOTU_579	0	0
ZOTU_580	15	14
ZOTU_581	0	0
ZOTU_582	0	0
ZOTU_583	1	2
ZOTU_584	0	0
ZOTU_585	0	0
ZOTU_586	10	14
ZOTU_587	21	23
ZOTU_588	18	13
ZOTU_589	23	14
ZOTU_590	20	6
ZOTU_591	14	5
ZOTU_592	0	0
ZOTU_593	11	15
ZOTU_594	0	0
ZOTU_595	7	10
ZOTU_596	15	9
ZOTU_597	15	11
ZOTU_598	14	15
ZOTU_599	25	13
ZOTU_600	1	1
ZOTU_601	8	8
ZOTU_602	0	0
ZOTU_603	9	9
ZOTU_604	17	12
ZOTU_605	0	0
ZOTU_606	28	21
ZOTU_607	0	0
ZOTU_608	29	38
ZOTU_609	0	0
ZOTU_610	21	21
ZOTU_611	14	12
ZOTU_612	13	8
ZOTU_613	10	4
ZOTU_614	24	18
ZOTU_615	12	15
ZOTU_616	0	0
ZOTU_617	12	17
ZOTU_618	0	0
ZOTU_619	44	26
ZOTU_620	26	13
ZOTU_621	16	14
ZOTU_622	0	0
ZOTU_623	0	0
ZOTU_624	0	0
ZOTU_625	8	13
ZOTU_626	0	0
ZOTU_627	16	10
ZOTU_628	20	13
ZOTU_629	0	0
ZOTU_630	21	16
ZOTU_631	0	0
ZOTU_632	15	8
ZOTU_633	0	0
ZOTU_634	12	15
ZOTU_635	14	14
ZOTU_636	5	14
ZOTU_637	28	29
ZOTU_638	15	9
ZOTU_639	32	17
ZOTU_640	0	0
ZOTU_641	0	0
ZOTU_642	14	5
ZOTU_643	0	0
ZOTU_644	10	16
ZOTU_645	0	0
ZOTU_646	37	27
ZOTU_647	0	0
ZOTU_648	14	7
ZOTU_649	15	7
ZOTU_650	19	13
ZOTU_651	0	0
ZOTU_652	0	0
ZOTU_653	12	16
ZOTU_654	0	0
ZOTU_655	0	0
ZOTU_656	22	5
ZOTU_657	0	0
ZOTU_658	0	0
ZOTU_659	0	0
ZOTU_660	13	10
ZOTU_661	13	21
ZOTU_662	0	0
ZOTU_663	0	0
ZOTU_664	11	9
ZOTU_665	8	8
ZOTU_666	12	12
ZOTU_667	22	22
ZOTU_668	0	0
ZOTU_669	0	0
ZOTU_670	0	0
ZOTU_671	0	0
ZOTU_672	9	7
ZOTU_673	4	5
ZOTU_674	10	21
ZOTU_675	0	0
ZOTU_676	0	0
ZOTU_677	13	21
ZOTU_678	19	9
ZOTU_679	11	18
ZOTU_680	0	0
ZOTU_681	12	15
ZOTU_682	13	9
ZOTU_683	12	11
