#KO	A-1	A-2	B-1	B-2	C-1	C-2
K00090	6.90357088322185e-05	7.18089296067863e-05	0.000164793421111759	0.000174802069930417	5.93183852859181e-05	4.8013073964162e-05
K00091	0.000177103557444464	0.000175878367038791	8.42383186210611e-05	7.97229232954263e-05	0.000166799626006324	0.000168131517838426
K00094	5.42507758076674e-07	5.42929589860203e-07	2.21108337526044e-05	2.59183921548307e-05	1.67838833177363e-06	1.59992176144476e-06
K00096	1.46256121940481e-05	1.34667469258775e-05	9.79966837571079e-06	9.70032796202528e-06	3.87493124104882e-05	3.98473802200389e-05
K00097	0.00048315331301538	0.000494477846595594	0.000542880720180227	0.000538000817364857	0.000676651724419603	0.000688480145134398
K00098	6.99367096355884e-05	7.04640828220471e-05	6.43310671562016e-05	7.00530483451895e-05	7.9719886066304e-05	7.95794182894416e-05
K00099	0.000467609107743209	0.00046161427752215	0.000517790654252151	0.00050796335192669	0.000668627642244345	0.000683370931697592
K00100	0.00117152834514708	0.00119006614113774	0.00106314540700215	0.00107482330290043	0.00117142597566912	0.00115434023960792
K00101	0.000472402082362444	0.000476108003677263	0.000383134776873788	0.000405439853616478	0.00026815043485227	0.000248036819767899
K00102	0.000678378663347738	0.000689871185199266	0.000492297594261626	0.000496476868044921	0.000575230668896875	0.000553274334597692
K00103	7.78819160220218e-05	7.43826038087251e-05	3.07529603542783e-05	3.48552586279993e-05	2.88960183439331e-05	2.89929672994816e-05
K00104	0.000682323365376325	0.000675769313165169	0.000535504751048224	0.000582303588951917	0.000837241361798995	0.000863837985503424
K00105	2.35178432134916e-06	2.75543832362304e-06	3.82386218624785e-06	2.92339395786921e-06	1.54145668555994e-07	1.58455041716864e-07
K00108	0.000711353205581004	0.000735139284554004	0.000716059595531666	0.0007557331102354	0.000528685966763548	0.000495909603303674
K00109	1.6889028859431e-06	1.370488644231e-06	5.95150921288388e-08	1.16163016703068e-07	2.31072576332788e-08	2.46446166785472e-08
K00111	0.00100685167810356	0.000996318321591921	0.000810616544369736	0.000850685161592233	0.000675151655390757	0.000667251488657497
K00112	4.72858713644383e-06	4.62429344895325e-06	5.90537335131702e-05	6.52925130084953e-05	4.89214096135388e-06	5.01798090665241e-06
K00113	6.02665382696142e-06	6.57196024859132e-06	6.02492128413596e-05	6.5754959098712e-05	6.03213662720885e-06	5.65222113383088e-06
K00114	0.000469505105524646	0.00048835825891726	0.000321913559263744	0.000332720733369034	0.000421930936742267	0.000417730467161368
K00115	2.15624393591129e-06	2.15282147780236e-06	6.2699614659762e-07	5.7697045595869e-07	1.81944687178654e-06	1.71838511702649e-06
K00116	0.000190483234157445	0.000189108790873536	0.000341418504162889	0.000402287753031776	0.000310432256873539	0.000342398001780302
K00117	0.00091007843021757	0.000924759227775136	0.000480145991639287	0.000532669597275437	0.000373303716677797	0.000383592765220261
K00118	0.000137821466611278	0.00013873144082775	5.10555859693542e-05	5.44967750235478e-05	4.25393733023896e-05	4.17612083541575e-05
K00119	0.000493862965189488	0.000509293317761936	0.000367585856744059	0.000377706575087795	0.000413272366980688	0.000398258522382843
K00121	0.000590328932940718	0.000601691469675384	0.000442641990280981	0.000481708487258995	0.000368760678946863	0.000357535518972327
K00122	0.000101941072664546	0.000101288453702109	9.4865123516904e-05	0.000105622797430203	2.88452204388465e-05	2.57245745837087e-05
K00123	0.00155573078498948	0.00157326214876481	0.00154630725755266	0.00167623852279959	0.00165309635837733	0.00166896633310414
K00124	0.000322377666965963	0.000325367441713846	0.000293488222257172	0.000312942962108043	0.000321352304327059	0.000320003677965556
K00125	4.60705608825303e-08	4.54426006176278e-08	1.99329085544197e-07	1.96343958710288e-07	2.0409700908601e-07	1.74059832357078e-07
K00126	1.88941963549253e-05	1.95933786523419e-05	1.534262581959e-05	1.49325823792637e-05	2.0254756307227e-05	1.92512569455051e-05
K00127	0.000125244056716743	0.000130105214032507	0.000187944293284737	0.000208499361966676	0.000244483820369744	0.000253996858832276
K00128	0.00236580467500776	0.00236108294882174	0.00171326432533883	0.00176529020721709	0.001435350476344	0.00137290680712193
K00129	6.34857215091133e-07	6.10947829377319e-07	3.72156748080328e-07	4.3606170599312e-07	3.66238980300454e-07	2.58769705738832e-07
K00130	0.000577573488395584	0.000555680894260113	0.000482961634544787	0.000530772734729351	0.000286313244539639	0.000269480750130658
K00131	6.37004016812788e-05	6.83556380154525e-05	0.000136001723997148	0.000146612385918194	6.06581003293038e-05	6.17524865059536e-05
K00132	3.31210364604997e-06	3.27023843683918e-06	1.91440819284013e-05	1.6140903135636e-05	4.98793441682635e-05	5.16244924843265e-05
K00133	0.000594365739365304	0.000596809017591416	0.000605135155691941	0.000601809108243876	0.000713960984253942	0.000727536462402193
K00134	0.000646448723225729	0.000648627355179726	0.000881188345698792	0.000889968363100164	0.000778456177330961	0.000798295387896449
K00135	0.00141849711597961	0.00142004542979591	0.00110373793068205	0.00116690448590843	0.00101563367404288	0.000988427526921616
K00137	5.64130994200144e-05	5.81867083362743e-05	0.000100060952290973	0.000108924766707048	5.96906803664686e-05	6.16948198518419e-05
K00138	8.58417246114875e-07	6.96743791992393e-07	2.68168883226617e-05	3.15632381452219e-05	1.31763695598226e-06	1.41461344338091e-06
K00140	0.000742932349711638	0.000741430573936017	0.000690030102723993	0.000723981402504809	0.00046328946954435	0.000430889563398491
K00141	0.000112797504419451	0.000115889150671562	0.000117692836873924	0.000122647074801608	8.56302952923152e-05	7.39029245677751e-05
K00145	0.000469462715645805	0.000469534893111951	0.0004684510437944	0.000475418190682843	0.00061617491968987	0.000627959227853076
K00146	8.20233240832201e-05	8.77791513831413e-05	0.000140753850192623	0.000152113417283462	5.69186458527438e-05	4.96511869341088e-05
K00147	0.000571009294042679	0.000569306126181253	0.000555815040340018	0.00055841586802788	0.000733627930119206	0.000742712905094043
K00148	0.00012323456113892	0.000116815344320252	9.69778521314584e-05	0.000105486836141807	2.7695075557772e-05	2.344452161308e-05
K00150	5.5160149145706e-06	5.62636237340718e-06	4.62958041663173e-06	4.62746433745512e-06	1.4304371071752e-05	1.273256315671e-05
K00151	0.000167750217598035	0.000168644845725288	0.00016751995509642	0.00017688537398971	9.86664836623732e-05	9.11368389078649e-05
K00152	4.00944354052143e-06	4.13206880464219e-06	8.31937454217081e-06	8.8181003222334e-06	5.72556962901672e-06	4.799838407934e-06
K00153	6.96658966334859e-05	6.3746098318692e-05	9.4849795835829e-06	1.65861136200948e-05	4.46584904468344e-06	4.5877463483077e-06
K00154	0.000193289481400844	0.000203238982044784	0.000263364439140838	0.000281789965790931	0.00017440580395721	0.000163999710034023
K00155	0.000146046109443828	0.000151869904140225	0.000117269999373479	0.000120758450792723	0.000121140479085436	0.000114832605493451
K00156	0.00033517429293027	0.000329813284334602	0.000296454467339939	0.000306363814759554	0.000149309275504128	0.000141793272974491
K00158	1.2255954576942e-05	1.3137073404461e-05	1.01409792966124e-05	9.52050534611123e-06	1.79767263975087e-06	1.82775714699556e-06
K00161	0.000837178165052375	0.000805124101506374	0.000357014869794059	0.000348356825115506	0.000385025332678488	0.000383627107299096
K00162	0.000919682265318111	0.000888985131593869	0.0004085859266881	0.00039892741053104	0.000461710554639765	0.000461523420635976
