#Name	TPM
TRINITY_g223_i1_3	1.068205
TRINITY_g223_i1_4	0.000000
TRINITY_g224_i1_1	0.000000
TRINITY_g224_i1_2	0.000000
TRINITY_g224_i1_3	0.000000
TRINITY_g225_i1_1	0.000000
TRINITY_g225_i1_2	1.367160
TRINITY_g226_i1_1	0.000000
TRINITY_g227_i1_1	0.000000
TRINITY_g227_i1_2	0.000000
TRINITY_g228_i1_1	0.000000
TRINITY_g229_i1_1	0.000000
TRINITY_g230_i1_1	0.000000
TRINITY_g231_i1_1	10.023299
TRINITY_g232_i1_1	0.000000
TRINITY_g233_i1_1	0.000000
TRINITY_g234_i1_1	0.000000
TRINITY_g235_i1_1	0.000000
TRINITY_g236_i1_1	0.000000
TRINITY_g237_i1_1	0.000000
TRINITY_g238_i1_1	0.000000
TRINITY_g238_i1_2	0.000000
TRINITY_g239_i1_1	0.000000
TRINITY_g240_i1_1	0.000000
TRINITY_g241_i1_1	0.000000
TRINITY_g242_i1_1	0.000000
TRINITY_g243_i1_1	0.000000
TRINITY_g244_i1_1	0.000000
TRINITY_g245_i1_1	0.000000
TRINITY_g245_i1_2	0.000000
TRINITY_g246_i1_1	10.629192
TRINITY_g247_i1_1	0.000000
TRINITY_g248_i1_1	0.000000
TRINITY_g249_i1_1	0.000000
TRINITY_g250_i1_1	1.781821
TRINITY_g250_i1_2	0.000000
TRINITY_g251_i1_1	0.000000
TRINITY_g251_i1_2	0.000000
TRINITY_g252_i1_1	0.000000
TRINITY_g253_i1_1	6.877853
TRINITY_g254_i1_1	0.000000
TRINITY_g255_i1_1	0.000000
TRINITY_g256_i1_1	0.000000
TRINITY_g257_i1_1	0.000000
TRINITY_g258_i1_1	0.000000
TRINITY_g259_i1_1	0.000000
TRINITY_g260_i1_1	0.000000
TRINITY_g261_i1_1	0.000000
TRINITY_g262_i1_1	0.000000
TRINITY_g263_i1_1	0.000000
TRINITY_g264_i1_1	0.000000
TRINITY_g265_i1_1	0.000000
TRINITY_g266_i1_1	0.000000
TRINITY_g266_i1_2	0.000000
TRINITY_g267_i1_1	0.000000
TRINITY_g267_i1_2	0.000000
TRINITY_g268_i1_1	6.389765
TRINITY_g269_i1_1	10.023299
TRINITY_g270_i1_1	0.000000
TRINITY_g271_i1_1	0.000000
TRINITY_g272_i1_1	0.000000
TRINITY_g273_i1_1	0.000000
TRINITY_g274_i1_1	0.000000
TRINITY_g274_i1_2	0.000000
TRINITY_g275_i1_1	0.000000
TRINITY_g276_i1_1	0.000000
TRINITY_g277_i1_1	0.000000
TRINITY_g278_i1_1	0.000000
TRINITY_g279_i1_1	0.000000
TRINITY_g280_i1_1	0.000000
TRINITY_g280_i1_2	0.000000
TRINITY_g280_i1_3	0.000000
TRINITY_g282_i1_1	0.000000
TRINITY_g283_i1_1	9.346743
TRINITY_g284_i1_1	1.983686
TRINITY_g284_i1_2	0.000000
TRINITY_g285_i1_1	0.000000
TRINITY_g285_i1_2	0.000000
TRINITY_g286_i1_1	0.000000
TRINITY_g287_i1_1	0.000000
TRINITY_g289_i1_1	0.000000
TRINITY_g290_i1_1	0.000000
TRINITY_g291_i1_1	0.000000
TRINITY_g291_i1_2	0.000000
TRINITY_g292_i1_1	0.000000
TRINITY_g292_i1_2	0.000000
TRINITY_g293_i1_1	0.000000
TRINITY_g294_i1_1	0.000000
TRINITY_g295_i1_1	0.000000
TRINITY_g296_i1_1	11.205600
TRINITY_g297_i1_1	8.019266
TRINITY_g298_i1_1	0.000000
TRINITY_g299_i1_1	0.000000
TRINITY_g300_i1_1	0.000000
TRINITY_g301_i1_1	0.000000
TRINITY_g302_i1_1	0.000000
TRINITY_g303_i1_1	0.000000
TRINITY_g304_i1_1	0.000000
TRINITY_g304_i1_2	0.000000
TRINITY_g305_i1_1	0.000000
TRINITY_g306_i1_1	0.000000
TRINITY_g307_i1_1	1.058928
TRINITY_g308_i1_1	0.000000
TRINITY_g309_i1_1	0.000000
TRINITY_g310_i1_1	0.000000
TRINITY_g311_i1_1	11.690432
TRINITY_g312_i1_1	0.000000
TRINITY_g312_i1_2	0.000000
TRINITY_g313_i1_1	0.000000
TRINITY_g314_i1_1	0.000000
TRINITY_g315_i1_1	0.000000
TRINITY_g316_i1_1	0.000000
TRINITY_g317_i1_1	0.000000
TRINITY_g318_i1_1	0.000000
TRINITY_g319_i1_1	0.000000
TRINITY_g320_i1_1	0.000000
TRINITY_g321_i1_1	0.000000
TRINITY_g321_i1_2	0.000000
TRINITY_g322_i1_1	0.000000
TRINITY_g323_i1_1	0.000000
TRINITY_g325_i1_1	0.000000
TRINITY_g325_i1_2	0.000000
TRINITY_g326_i1_1	0.000000
TRINITY_g327_i1_1	0.000000
